S 600aa0,1 miss 
S ff000398,8 miss 
S ff000390,8 miss 
S ff000378,8 miss 
S ff000370,8 miss 
S ff000384,4 miss 
L ff000384,4 hit 
S ff000388,4 miss 
L ff000388,4 hit 
L ff000384,4 hit 
L ff000378,8 hit 
L ff000388,4 hit 
L 600a20,4 miss evction 
S ff00038c,4 hit 
L ff000388,4 hit 
L ff000370,8 hit 
L ff000384,4 hit 
L ff00038c,4 hit 
S 600a60,4 miss evction 
M ff000388,4 hit hit 
L ff000388,4 hit 
L ff000384,4 miss evction 
L ff000378,8 hit 
L ff000388,4 hit 
L 600a24,4 miss evction 
S ff00038c,4 hit 
L ff000388,4 hit 
L ff000370,8 hit 
L ff000384,4 hit 
L ff00038c,4 hit 
S 600a70,4 miss evction 
M ff000388,4 hit hit 
L ff000388,4 hit 
L ff000384,4 hit 
L ff000378,8 hit 
L ff000388,4 hit 
L 600a28,4 miss 
S ff00038c,4 hit 
L ff000388,4 hit 
L ff000370,8 hit 
L ff000384,4 hit 
L ff00038c,4 hit 
S 600a80,4 miss evction 
M ff000388,4 hit hit 
L ff000388,4 hit 
L ff000384,4 miss evction 
L ff000378,8 hit 
L ff000388,4 hit 
L 600a2c,4 hit 
S ff00038c,4 hit 
L ff000388,4 hit 
L ff000370,8 hit 
L ff000384,4 hit 
L ff00038c,4 hit 
S 600a90,4 miss evction 
M ff000388,4 hit hit 
L ff000388,4 hit 
M ff000384,4 hit hit 
L ff000384,4 hit 
S ff000388,4 hit 
L ff000388,4 hit 
L ff000384,4 hit 
L ff000378,8 hit 
L ff000388,4 hit 
L 600a30,4 miss evction 
S ff00038c,4 hit 
L ff000388,4 hit 
L ff000370,8 miss evction 
L ff000384,4 hit 
L ff00038c,4 hit 
S 600a64,4 miss evction 
M ff000388,4 hit hit 
L ff000388,4 hit 
L ff000384,4 hit 
L ff000378,8 hit 
L ff000388,4 hit 
L 600a34,4 hit 
S ff00038c,4 hit 
L ff000388,4 hit 
L ff000370,8 hit 
L ff000384,4 hit 
L ff00038c,4 hit 
S 600a74,4 miss evction 
M ff000388,4 hit hit 
L ff000388,4 hit 
L ff000384,4 hit 
L ff000378,8 hit 
L ff000388,4 hit 
L 600a38,4 miss evction 
S ff00038c,4 hit 
L ff000388,4 hit 
L ff000370,8 hit 
L ff000384,4 hit 
L ff00038c,4 hit 
S 600a84,4 miss evction 
M ff000388,4 hit hit 
L ff000388,4 hit 
L ff000384,4 miss evction 
L ff000378,8 hit 
L ff000388,4 hit 
L 600a3c,4 hit 
S ff00038c,4 hit 
L ff000388,4 hit 
L ff000370,8 hit 
L ff000384,4 hit 
L ff00038c,4 hit 
S 600a94,4 miss evction 
M ff000388,4 hit hit 
L ff000388,4 hit 
M ff000384,4 hit hit 
L ff000384,4 hit 
S ff000388,4 hit 
L ff000388,4 hit 
L ff000384,4 hit 
L ff000378,8 hit 
L ff000388,4 hit 
L 600a40,4 miss evction 
S ff00038c,4 hit 
L ff000388,4 hit 
L ff000370,8 miss evction 
L ff000384,4 hit 
L ff00038c,4 hit 
S 600a68,4 miss evction 
M ff000388,4 miss evction hit 
L ff000388,4 hit 
L ff000384,4 hit 
L ff000378,8 hit 
L ff000388,4 hit 
L 600a44,4 hit 
S ff00038c,4 hit 
L ff000388,4 hit 
L ff000370,8 hit 
L ff000384,4 hit 
L ff00038c,4 hit 
S 600a78,4 miss evction 
M ff000388,4 hit hit 
L ff000388,4 hit 
L ff000384,4 hit 
L ff000378,8 miss evction 
L ff000388,4 hit 
L 600a48,4 miss evction 
S ff00038c,4 hit 
L ff000388,4 hit 
L ff000370,8 hit 
L ff000384,4 hit 
L ff00038c,4 hit 
S 600a88,4 miss evction 
M ff000388,4 miss evction hit 
L ff000388,4 hit 
L ff000384,4 hit 
L ff000378,8 hit 
L ff000388,4 hit 
L 600a4c,4 miss evction 
S ff00038c,4 hit 
L ff000388,4 hit 
L ff000370,8 hit 
L ff000384,4 hit 
L ff00038c,4 hit 
S 600a98,4 miss evction 
M ff000388,4 hit hit 
L ff000388,4 hit 
M ff000384,4 hit hit 
L ff000384,4 hit 
S ff000388,4 hit 
L ff000388,4 hit 
L ff000384,4 hit 
L ff000378,8 hit 
L ff000388,4 hit 
L 600a50,4 miss evction 
S ff00038c,4 hit 
L ff000388,4 hit 
L ff000370,8 hit 
L ff000384,4 hit 
L ff00038c,4 hit 
S 600a6c,4 miss evction 
M ff000388,4 miss evction hit 
L ff000388,4 hit 
L ff000384,4 hit 
L ff000378,8 hit 
L ff000388,4 hit 
L 600a54,4 hit 
S ff00038c,4 hit 
L ff000388,4 hit 
L ff000370,8 hit 
L ff000384,4 hit 
L ff00038c,4 hit 
S 600a7c,4 miss evction 
M ff000388,4 hit hit 
L ff000388,4 hit 
L ff000384,4 hit 
L ff000378,8 miss evction 
L ff000388,4 hit 
L 600a58,4 miss evction 
S ff00038c,4 hit 
L ff000388,4 hit 
L ff000370,8 hit 
L ff000384,4 hit 
L ff00038c,4 hit 
S 600a8c,4 miss evction 
M ff000388,4 hit hit 
L ff000388,4 hit 
L ff000384,4 hit 
L ff000378,8 hit 
L ff000388,4 hit 
L 600a5c,4 hit 
S ff00038c,4 hit 
L ff000388,4 hit 
L ff000370,8 hit 
L ff000384,4 hit 
L ff00038c,4 hit 
S 600a9c,4 miss evction 
M ff000388,4 hit hit 
L ff000388,4 hit 
M ff000384,4 hit hit 
L ff000384,4 hit 
L ff000390,8 miss evction 
L ff000398,8 miss evction 
L 600aa0,1 miss evction 
hits:192 misses:46 evictions:38
